"","uuid","suspicion_rating","normed_signed_e_v","normed_unsigned_e_v","subject_lost","subject_lied","reward_block","random_pick_col","n_blue","prop_blue","random_pick_red"
"1883","6346a9acc2a832b58c8e7229",0.5,0.888888888888889,0.857142857142857,0,1,"high","red",2,0.285714285714286,1
"1884","6346a9acc2a832b58c8e7229",0.666666666666667,0.777777777777778,0.714285714285714,0,0,"high","blue",3,0.428571428571429,0
"1885","6346a9acc2a832b58c8e7229",0.333333333333333,0.222222222222222,0.285714285714286,0,1,"high","red",1,0.142857142857143,1
"1886","6346a9acc2a832b58c8e7229",0.333333333333333,0.444444444444444,0.285714285714286,0,0,"high","blue",6,0.857142857142857,0
"1887","6346a9acc2a832b58c8e7229",0.166666666666667,0.222222222222222,0.285714285714286,0,1,"high","red",1,0.142857142857143,1
"1888","6346a9acc2a832b58c8e7229",0.333333333333333,0.111111111111111,0.428571428571429,0,1,"high","red",2,0.285714285714286,1
"1889","6346a9acc2a832b58c8e7229",0.666666666666667,0.444444444444444,0.285714285714286,0,0,"high","blue",6,0.857142857142857,0
"1890","6346a9acc2a832b58c8e7229",0.166666666666667,0.111111111111111,0.428571428571429,0,1,"high","red",2,0.285714285714286,1
"1891","6346a9acc2a832b58c8e7229",0.5,1,1,0,1,"low","red",1,0.142857142857143,1
"1892","6346a9acc2a832b58c8e7229",0.666666666666667,0.818181818181818,0.714285714285714,0,1,"low","red",3,0.428571428571429,1
"1893","6346a9acc2a832b58c8e7229",0.666666666666667,0.818181818181818,0.714285714285714,0,0,"low","blue",3,0.428571428571429,0
"1894","6346a9acc2a832b58c8e7229",0.333333333333333,0.181818181818182,0.571428571428572,0,0,"low","blue",3,0.428571428571429,0
"1895","6346a9acc2a832b58c8e7229",0.833333333333333,1,1,0,1,"low","red",1,0.142857142857143,1
"1896","6346a9acc2a832b58c8e7229",0.166666666666667,0.272727272727273,0.428571428571429,0,0,"low","blue",2,0.285714285714286,0
"1897","6346a9acc2a832b58c8e7229",0.166666666666667,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"1898","6346a9acc2a832b58c8e7229",0.5,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1899","6346a9acc2a832b58c8e7229",0.5,0.727272727272727,0.571428571428572,0,1,"low","red",4,0.571428571428571,1
"1900","6346a9acc2a832b58c8e7229",0.166666666666667,0,0.857142857142857,0,0,"low","blue",5,0.714285714285714,0
"1901","6346a9acc2a832b58c8e7229",0.5,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1902","6346a9acc2a832b58c8e7229",0.5,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1903","6346a9acc2a832b58c8e7229",0.833333333333333,1,1,0,1,"low","red",1,0.142857142857143,1
"1904","6346a9acc2a832b58c8e7229",0.166666666666667,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"1905","6346a9acc2a832b58c8e7229",0.833333333333333,1,1,0,0,"low","blue",1,0.142857142857143,0
"1906","6346a9acc2a832b58c8e7229",0.333333333333333,0.272727272727273,0.428571428571429,0,1,"low","red",2,0.285714285714286,1
"1907","6346a9acc2a832b58c8e7229",0.333333333333333,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"1908","6346a9acc2a832b58c8e7229",0.666666666666667,0.636363636363636,0.428571428571429,0,1,"low","red",5,0.714285714285714,1
"1909","6346a9acc2a832b58c8e7229",0.333333333333333,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"1910","6346a9acc2a832b58c8e7229",0.833333333333333,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1911","6346a9acc2a832b58c8e7229",0.5,0.272727272727273,0.428571428571429,0,0,"low","blue",2,0.285714285714286,0
"1912","6346a9acc2a832b58c8e7229",0.166666666666667,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"1913","6346a9acc2a832b58c8e7229",0.666666666666667,0.636363636363636,0.428571428571429,0,1,"low","red",5,0.714285714285714,1
"1914","6346a9acc2a832b58c8e7229",0.666666666666667,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1915","6346a9acc2a832b58c8e7229",0.666666666666667,1,1,0,1,"low","red",1,0.142857142857143,1
"1916","6346a9acc2a832b58c8e7229",0.5,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1917","6346a9acc2a832b58c8e7229",0.5,0.636363636363636,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1918","6346a9acc2a832b58c8e7229",0.166666666666667,0.363636363636364,0.285714285714286,0,1,"low","red",1,0.142857142857143,1
"1919","6346a9acc2a832b58c8e7229",0.333333333333333,0.272727272727273,0.428571428571429,0,0,"low","blue",2,0.285714285714286,0
"1920","6346a9acc2a832b58c8e7229",0.5,0.545454545454545,0.285714285714286,0,1,"low","red",6,0.857142857142857,1
"1921","63637d967ee8bf369c131da3",0.166666666666667,0.222222222222222,0.285714285714286,0,0,"low","red",1,0.142857142857143,1
"1922","63637d967ee8bf369c131da3",0.5,0.555555555555556,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1923","63637d967ee8bf369c131da3",0.5,0.888888888888889,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"1924","63637d967ee8bf369c131da3",0.5,0.555555555555556,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1925","63637d967ee8bf369c131da3",0.5,0.888888888888889,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"1926","63637d967ee8bf369c131da3",0.666666666666667,0.888888888888889,0.857142857142857,1,0,"low","red",2,0.285714285714286,1
"1927","63637d967ee8bf369c131da3",0.666666666666667,0.888888888888889,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"1928","63637d967ee8bf369c131da3",0.666666666666667,0.555555555555556,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1929","63637d967ee8bf369c131da3",0.166666666666667,0.111111111111111,0.428571428571429,0,0,"low","red",2,0.285714285714286,1
"1930","63637d967ee8bf369c131da3",0.666666666666667,0.444444444444444,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1931","63637d967ee8bf369c131da3",0.666666666666667,0.444444444444444,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1932","63637d967ee8bf369c131da3",0.666666666666667,0.777777777777778,0.714285714285714,0,0,"low","blue",3,0.428571428571429,0
"1933","63637d967ee8bf369c131da3",0.833333333333333,1,1,0,0,"low","blue",1,0.142857142857143,0
"1934","63637d967ee8bf369c131da3",0.833333333333333,0.444444444444444,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1935","63637d967ee8bf369c131da3",0.833333333333333,0.444444444444444,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1936","63637d967ee8bf369c131da3",0.833333333333333,0.888888888888889,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"1937","63637d967ee8bf369c131da3",0.166666666666667,0.111111111111111,0.428571428571429,0,0,"low","blue",2,0.285714285714286,0
"1938","63637d967ee8bf369c131da3",0.666666666666667,0.888888888888889,0.857142857142857,1,0,"low","red",2,0.285714285714286,1
"1939","63637d967ee8bf369c131da3",0.666666666666667,0.888888888888889,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"1940","63637d967ee8bf369c131da3",0.166666666666667,0.111111111111111,0.428571428571429,0,0,"low","red",2,0.285714285714286,1
"1941","63637d967ee8bf369c131da3",0.666666666666667,1,1,1,0,"low","red",1,0.142857142857143,1
"1942","63637d967ee8bf369c131da3",0.666666666666667,0.555555555555556,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1943","63637d967ee8bf369c131da3",0.166666666666667,0,0.571428571428572,0,0,"low","blue",3,0.428571428571429,0
"1944","63637d967ee8bf369c131da3",0.666666666666667,0.555555555555556,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1945","63637d967ee8bf369c131da3",0.666666666666667,0.444444444444444,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1946","63637d967ee8bf369c131da3",0.666666666666667,0.555555555555556,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
"1947","63637d967ee8bf369c131da3",0.666666666666667,0.888888888888889,0.857142857142857,0,0,"low","blue",2,0.285714285714286,0
"1948","63637d967ee8bf369c131da3",0.166666666666667,0.111111111111111,0.428571428571429,0,0,"low","red",2,0.285714285714286,1
"1949","63637d967ee8bf369c131da3",0.666666666666667,0.555555555555556,0.428571428571429,1,0,"low","red",5,0.714285714285714,1
"1950","63637d967ee8bf369c131da3",0.666666666666667,0.555555555555556,0.428571428571429,0,0,"low","blue",5,0.714285714285714,0
